date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:24	46756/46756	---M--	200	added ('OK')	image/png	etag:%225ac6b94e-b6a4%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-11.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-11.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:25	82177/82177	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-14101%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-9.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-9.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:26	78839/78839	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-133f7%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-10.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-10.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:26	78099/78099	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-13113%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-8.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-8.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:26	73368/73368	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-11e98%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-16.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-16.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:27	52963/52963	---M--	200	added ('OK')	image/png	etag:%225ace616c-cee3%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-7.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-7.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:27	61327/61327	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-ef8f%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-5.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-5.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:28	49117/49117	---M--	200	added ('OK')	image/png	etag:%225ace6106-bfdd%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-6.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-6.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:28	68287/68287	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-10abf%22	https://n.foxdsgn.com/coca-html/assets/images/Untitled-2.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/Untitled-2.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:29	87523/87523	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-155e3%22	https://n.foxdsgn.com/coca-html/assets/images/masonry-4.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry-4.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:29	61950/61950	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-f1fe%22	https://n.foxdsgn.com/coca-html/assets/images/Untitled-1.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/Untitled-1.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:30	89194/89194	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-15c6a%22	https://n.foxdsgn.com/coca-html/assets/images/masonry.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/masonry.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:30	79353/79353	---M--	200	added ('OK')	image/jpeg	etag:%225ace8c9a-135f9%22	https://n.foxdsgn.com/coca-html/assets/images/splited-banner-1-1.jpg	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/splited-banner-1-1.jpg	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:30	74065/74065	---M--	200	added ('OK')	image/png	etag:%225ac6adf2-12151%22	https://n.foxdsgn.com/coca-html/assets/images/porfolio-BELLEVUE-PROJECT.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/porfolio-BELLEVUE-PROJECT.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:31	47639/47639	---M--	200	added ('OK')	image/png	etag:%225ace60e2-ba17%22	https://n.foxdsgn.com/coca-html/assets/images/port-2-img-4-1.png	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/port-2-img-4-1.png	(from https://n.foxdsgn.com/coca-html/index.html)
18:26:32	138212/138212	---M--	200	added ('OK')	image/jpeg	etag:%225ace5f40-21be4%22	https://n.foxdsgn.com/coca-html/assets/images/heading-02.jpg	D:/Templates/Template/lakmalgranite/n.foxdsgn.com/coca-html/assets/images/heading-02.jpg	(from https://n.foxdsgn.com/coca-html/index.html)
